,age,asvabc,earnings,height,hours,s,siblings,tenure,weight,wexp
0,40,48.35935,10.16,60,40,12,13,5.788462,117,8.884615
1,40,44.8153,11.4,68,40,12,5,9.557693,138,14.69231
2,39,58.17366,26.04,70,40,13,1,14.90385,174,13.94231
3,39,42.0891,10.25,62,30,12,3,6.730769,108,20.90385
4,39,51.90341,3.84,71,55,12,2,0.8076923,145,7.25
5,40,61.99033,21.8,74,40,13,3,5.711538,215,14.38461
6,43,49.17721,15.58,71,40,12,2,17.78846,195,23.40385
7,44,60.89985,19.75,68,40,12,3,22.21154,115,23.17308
8,40,34.18314,5.15,64,35,12,5,0.7115384,140,18.07692
9,41,56.26532,8.59,66,40,12,4,2.230769,187,22.61539
10,39,51.63079,25.0,61,30,16,1,6.75,148,18.25
11,44,56.26532,26.49,76,45,12,3,15.36539,235,23.32692
12,39,46.72364,37.0,70,42,12,3,21.25,165,22.0
13,41,50.81293,14.28,65,21,13,3,2.365385,140,17.28846
14,45,63.35343,29.61,69,50,13,2,4.269231,160,21.92308
15,39,64.98915,28.38,66,42,14,3,14.13461,138,15.30769
16,42,58.44628,27.97,69,55,12,3,5.923077,135,20.21154
17,44,49.99507,23.0,73,40,12,4,0.3846154,180,22.13461
18,42,48.35935,17.5,71,40,12,3,4.326923,175,16.98077
19,45,34.45576,9.25,66,40,14,3,1.75,220,17.55769
20,41,42.36172,5.5,63,40,10,7,1.365385,157,4.557693
21,41,58.99152,10.75,66,20,16,3,6.807693,130,12.71154
22,38,45.36054,23.6,73,40,12,3,6.480769,200,18.0
23,40,65.80701,19.68,67,42,16,2,5.730769,145,8.288462
24,45,55.9927,13.25,69,41,12,0,17.44231,137,22.36539
25,42,39.36291,17.5,64,40,12,6,8.576923,147,16.15385
26,39,36.36409,20.94,60,45,12,7,2.0,99,19.84615
27,42,49.72245,11.66,61,45,12,3,13.90385,150,18.46154
28,38,46.72364,16.32,66,40,14,3,16.65385,130,10.88461
29,43,50.26769,11.53,69,40,12,3,19.23077,160,23.01923
30,39,59.80938,19.58,74,54,20,1,9.615385,170,7.423077
31,39,50.26769,23.25,65,30,14,7,15.67308,130,17.90385
32,39,43.99744,29.48,62,45,16,8,11.86539,130,18.26923
33,40,42.90696,23.07,64,40,12,3,12.30769,155,20.73077
34,39,54.35698,18.61,66,40,12,2,8.980769,120,15.65385
35,40,34.72837,10.5,74,40,8,2,0.1730769,270,19.76923
36,45,40.72601,13.95,67,40,12,3,2.153846,160,22.28846
37,40,51.35817,55.76,73,40,14,1,4.615385,155,18.82692
38,43,49.99507,20.01,65,40,12,2,24.03846,220,22.96154
39,37,63.35343,7.01,64,20,18,0,0.75,130,8.711538
40,39,64.71653,12.5,68,15,16,6,10.96154,128,15.38461
41,39,42.36172,7.0,67,58,12,4,0.4807692,145,13.25
42,42,57.62842,12.15,72,40,12,0,1.576923,120,22.71154
43,44,32.2748,11.0,70,40,10,5,13.03846,205,17.88461
44,40,46.45102,9.35,64,32,13,4,8.634615,140,12.86539
45,41,45.63316,10.5,66,15,12,4,1.019231,120,10.11539
46,42,30.63908,15.4,66,40,12,6,12.03846,113,17.96154
47,44,62.26295,38.46,68,50,20,11,16.82692,135,18.21154
48,45,57.08318,30.0,69,48,13,3,22.73077,215,17.90385
49,42,62.53557,15.62,60,40,14,3,10.76923,106,17.13461
50,39,35.81885,13.11,66,40,14,8,0.1538462,120,15.63461
51,41,47.81411,9.25,68,28,13,3,3.519231,120,18.55769
52,43,58.99152,22.96,72,35,12,3,4.961538,215,23.13461
53,41,61.17247,23.0,66,32,16,1,1.807692,125,12.71154
54,45,40.72601,14.75,64,40,12,1,5.942307,135,21.26923
55,43,55.72008,30.0,72,40,17,3,16.17308,175,19.01923
56,38,33.09266,9.75,64,40,12,3,1.730769,138,1.769231
57,39,48.35935,9.88,63,20,12,1,11.44231,165,17.71154
58,41,48.35935,23.5,69,45,12,3,1.615385,152,22.15385
59,44,64.71653,31.73,61,40,12,3,10.76923,200,22.88461
60,41,49.72245,11.0,61,40,12,4,15.80769,135,20.86539
61,45,61.17247,18.0,67,35,14,4,0.2692308,122,14.07692
62,38,44.54268,34.34,63,35,12,0,1.057692,110,18.28846
63,41,44.8153,25.0,67,10,14,1,10.90385,146,14.96154
64,40,53.26651,30.68,70,45,18,5,13.07692,175,16.34615
65,39,54.6296,23.07,72,40,16,0,7.692307,155,14.23077
