"","Date","DOC","DPI","LGDOC","LGDPI","LGPRDOC","PRELDOC"
"1",1959-01-01,58.338048,1715.5,4.06625450484656,7.4474598622985,3.83482309473128,46.2852388410337
"2",1960-01-01,59.372864,1759.7,4.08383728697086,7.47289861895772,3.84269300387804,46.6509365820773
"3",1961-01-01,59.789632,1819.2,4.09083226799847,7.50615212299627,3.8554110511743,47.2480343102216
"4",1962-01-01,63.8176,1908.2,4.15602901437677,7.55391566831775,3.87224448789897,48.0501130369254
"5",1963-01-01,66.465024,1979.1,4.1966758544118,7.59039747489694,3.88316417696617,48.5776805251641
"6",1964-01-01,76.195136,2122.8,4.33329762863425,7.66049125095374,3.89620032973318,49.2150922610851
"7",1965-01-01,77.123392,2253.3,4.34540663273754,7.72015108736008,3.91342454735343,50.070126227209
"8",1966-01-01,77.097344,2371.9,4.34506883120808,7.7714466007129,3.94952469372146,51.9106874944842
"9",1967-01-01,79.905792,2475.9,4.38084834075818,7.81435924526675,3.9901803361389,54.0646382923785
"10",1968-01-01,82.330624,2588,4.41074314053583,7.85864065562079,4.00559638363701,54.9045588174403
"11",1969-01-01,87.073728,2668.7,4.4667552080489,7.88934674143843,4.03199023969968,56.3729954464463
"12",1970-01-01,91.468736,2781.7,4.51599723083441,7.93081753057951,4.05627261427269,57.7586206896552
"13",1971-01-01,93.848576,2907.9,4.54168258976876,7.97518645016667,4.07970736271902,59.1281642126641
"14",1972-01-01,98.731392,3046.5,4.592402950582,8.02174866968855,4.07709056326771,58.9736399326977
"15",1973-01-01,106.034304,3252.3,4.66376266439906,8.08711771733536,4.05504184488656,57.6875768757688
"16",1974-01-01,107.237248,3228.5,4.67504365097209,8.07977291206652,4.04569749889758,57.1510349191046
"17",1975-01-01,110.474304,3302.6,4.70478295092907,8.10246531602889,4.08048170631371,59.1739674593242
"18",1976-01-01,108.972992,3432.2,4.69110007171014,8.1409567339682,4.13417523599003,62.4380731527353
"19",1977-01-01,114.537792,3552.9,4.74090482967147,8.17551945039556,4.15960201566026,64.0460282108389
"20",1978-01-01,116.70688,3718.8,4.75966549213916,8.2211563145817,4.17053084374696,64.7498150203478
"21",1979-01-01,121.577856,3811.2,4.80055484768573,8.24569937916098,4.17483341868303,65.029006141227
"22",1980-01-01,128.23904,3857.7,4.85389602230946,8.2578264299445,4.17404157475689,64.9775336994508
"23",1981-01-01,136.489152,3960,4.91624513893943,8.28399930424853,4.19242369631525,66.1830042313117
"24",1982-01-01,136.841984,4044.9,4.91882685868889,8.30521210730814,4.22831021460759,68.601212850198
"25",1983-01-01,143.273472,4177.7,4.96475519557549,8.33751613484719,4.26156126173236,70.9206227176629
"26",1984-01-01,149.617344,4494.1,5.00808099464922,8.41052070438912,4.29165639007552,73.0874295856162
"27",1985-01-01,157.313344,4645.2,5.05823963799835,8.4435897073716,4.31563387967071,74.8610613122983
"28",1986-01-01,162.215104,4791,5.08892325695138,8.47449443688312,4.36169191992119,78.3896513001502
"29",1987-01-01,175.911616,4874.5,5.16998168708445,8.49177281406933,4.39863287865763,81.3395915260688
"30",1988-01-01,186.392384,5082.6,5.22785404304767,8.53357822066556,4.42897180073525,83.8451630397939
"31",1989-01-01,188.478592,5224.8,5.23898443014669,8.56117179858845,4.45704894619188,86.2326560307644
"32",1990-01-01,194.7088,5324.2,5.27150510909688,8.58001774454947,4.48172817112857,88.3872891251957
"33",1991-01-01,198.019264,5351.7,5.28836431889118,8.58516954642533,4.50333183305899,90.3175535549455
"34",1992-01-01,204.27552,5536.3,5.31946967085559,8.61908168658069,4.5358351938241,93.3014075316928
"35",1993-01-01,198.32,5594.2,5.28988188772693,8.62948562571486,4.56721694859739,96.2757960912943
"36",1994-01-01,196.47296,5746.4,5.28052481369795,8.65632885076059,4.59524985892332,99.0128717067839
"37",1995-01-01,200.096,5905.7,5.29879725138489,8.68367326521284,4.61260071566954,100.745820457102
"38",1996-01-01,204.888832,6080.9,5.32246754912301,8.71290799032119,4.59829443150493,99.3147829433333
"39",1997-01-01,210.522304,6295.8,5.34959160475402,8.74763802339192,4.59491000098732,98.9792271140827
"40",1998-01-01,218.701376,6663.9,5.38770721938675,8.80446017773169,4.60708545668911,100.191710600346
"41",1999-01-01,224.543232,6861.3,5.41406825879896,8.83365220713942,4.61253220748668,100.738918780425
"42",2000-01-01,236.8,7194,5.46721590300985,8.88100262425557,4.60517018598809,100
"43",2001-01-01,249.636928,7333.3,5.52000757426989,8.90018089820747,4.61248950547276,100.734617117558
"44",2002-01-01,270.59136,7559.5,5.60060978618038,8.93056032942026,4.59826067467534,99.3114304477151
"45",2003-01-01,285.60448,7733.8,5.65460791661691,8.9533556119932,4.59459422705111,98.9479769881813
