"","Date","LGCCLOT","LGCDPI","LGCFLOW","LGCFOOD","LGCGASO","LGCLOT","LGCMAGS","LGCTOB","LGCTOYS","LPRCLOT","LPRFLOW","LPRFOOD","LPRGASO","LPRMAGS","LPRTOB","LPRTOYS","MAGS","POP","TIME"
"1",1959-01-01,5.71376900731133,9.17833121501614,2.51134236144925,7.34037144420554,5.83755219253639,3.9828976545937,4.4319405767357,6.21487701726508,3.18867348697331,5.48265985039637,4.96797353289244,4.69081430790638,4.50993831165344,4.24832742396377,3.58873674721235,5.59603723317326,14.89565,177130,1
"2",1960-01-01,5.70237316900273,9.18348371339677,2.58865045764022,7.32977344274529,5.8509389578127,3.99178807456367,4.41977464623469,6.20906215501701,3.19938640366282,5.47961915828134,4.97603112134941,4.68420857798493,4.52212140765076,4.24664306452335,3.60520260080568,5.59542304361124,15.0171,180760,2
"3",1961-01-01,5.70458376666745,9.20037480224821,2.55744169417692,7.32812422750283,5.84484331616726,4.01036108741551,4.32092904880817,6.22322549706218,3.24191922153824,5.47560283407164,4.98868215501026,4.67886961968245,4.50179324697144,4.25382496696303,3.60284232459525,5.59888955586782,13.82815,183742,3
"4",1962-01-01,5.73337988424238,9.23275725089072,2.68105309695473,7.32141603714406,5.87099480685218,4.0545383016694,4.42052318775318,6.21107520235112,3.29359454507039,5.46698961261657,4.99745537543718,4.67475318725794,4.49636028837492,4.25724413391101,3.59902956582178,5.60149782875358,15.51305,186590,4
"5",1963-01-01,5.73671807013009,9.25481969566379,2.80930722176565,7.31605284310642,5.88683679982946,4.07229584936323,4.43048658056603,6.20462883529629,3.34127576149356,5.46526221512056,5.00282987483211,4.67450131520272,4.48237554432888,4.28971488816955,3.61741100623265,5.60239211323577,15.89595,189300,5
"6",1964-01-01,5.79890091230036,9.31113143853894,2.849658739846,7.33902148055651,5.92635557702331,4.14826072471515,4.39419265852991,6.17598520473647,3.40170751497289,5.45827403341975,5.01213360495494,4.68145608401331,4.46163495358384,4.31273372211348,3.62657229212688,5.59535378773663,15.5421,191927,6
"7",1965-01-01,5.82668303318155,9.35826114523207,2.99790129341155,7.37822863727313,5.95998344867589,4.18857297530956,4.41983813865141,6.18936319464675,3.46146605758769,5.45435353577269,5.00705471601926,4.68596781416122,4.48432292094339,4.32588300579128,3.65374935407024,5.56950322024564,16.1469,194347,7
"8",1966-01-01,5.88044543232353,9.3980357584649,3.08516697045691,7.40631581412539,6.00898563652512,4.25385627457154,4.54001533075691,6.17784229452676,3.57286381179587,5.4569023924061,4.99856021174854,4.70227591427767,4.48211114386679,4.33362526174086,3.6813718614647,5.54114067494469,18.4198,196599,8
"9",1967-01-01,5.87524815307034,9.43005670787199,3.08344277013412,7.4189737534421,6.0300697045175,4.25955069046509,4.52289082945354,6.1759077296602,3.60174603545671,5.47358869521119,4.99841071465594,4.67969919589852,4.48955805038794,4.34114770705874,3.69308799764424,5.53280060590252,18.30535,198752,9
"10",1968-01-01,5.90647099531538,9.46436048868648,3.12916839152122,7.45320249372105,6.08741223907739,4.30075116224969,4.50299824060785,6.1587939815015,3.66412158247626,5.48993952684795,5.00600088471143,4.67160641260982,4.46560490350064,4.3616980109233,3.71559891275815,5.53207885376967,18.12475,200745,10
"11",1969-01-01,5.91444370178049,9.48519738036401,3.13853317481293,7.47122962884507,6.14261070802021,4.31859306285491,4.51259652170685,6.13557127558258,3.69641452492717,5.50163389905893,4.99800388275063,4.67072284327996,4.45327394182606,4.36937517340395,3.72284369768044,5.53574760525067,18.48105,202736,11
"12",1970-01-01,5.89037621821073,9.51512877829604,3.11233951864858,7.48877869318753,6.19112820702881,4.30606497049421,4.54238578603064,6.14073730847537,3.71133007546929,5.49583282549984,4.99526776577103,4.67926195370666,4.41601955644419,4.38596999880877,3.75700231627852,5.51236034685303,19.26085,205089,12
"13",1971-01-01,5.92474201482999,9.5468855161005,3.1214761419611,7.48898907021078,6.22581073797495,4.35304294889615,4.53338322534825,6.13608001728172,3.73521563608182,5.48581457352315,5.00420767940362,4.66051163297633,4.38160948813151,4.41790424334867,3.75673534331935,5.49209358202183,19.3305,207692,13
"14",1972-01-01,5.97908187451652,9.58275838821845,3.19467574544793,7.49789649114082,6.25506898585025,4.41807215598662,4.56686062560506,6.14484099073782,3.83028349941572,5.47343882656855,4.99918940724377,4.67194523256013,4.36048385144727,4.41561557907086,3.77592442326696,5.47279132970983,20.2034,209924,14
"15",1973-01-01,6.0372167712867,9.63857449889844,3.21877484732052,7.47472539936275,6.29619828306253,4.48575998972362,4.63301806672149,6.19040525329659,3.93678910632152,5.45583895594284,4.97132105130964,4.73543005168897,4.39884691181906,4.38952809810259,3.75025275380614,5.42870854913865,21.7924,211939,15
